outer_fold,model_id,physical_unit_id,condition_id,line_pressure_bar,observed_flow_g_s,predicted_flow_g_s,error_g_s,squared_error_g_s2,training_scale_g_s
HYD-LOCO-5.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-5-1,WASZ-COND-5.0,4.919,2.05655,1.573919169915711,-0.4826308300842892,0.23293251814785004,1.9299269999999997
HYD-LOCO-5.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-5-2,WASZ-COND-5.0,4.97525,2.06798,1.5873611882957528,-0.48061881170424714,0.23099444216400256,1.9299269999999997
HYD-LOCO-5.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-5-3,WASZ-COND-5.0,4.98425,2.15813,1.5894927765966034,-0.5686372234033965,0.32334829183992425,1.9299269999999997
HYD-LOCO-5.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-5-4,WASZ-COND-5.0,4.90175,2.00099,1.5697556391848535,-0.4312343608151463,0.1859630739476478,1.9299269999999997
HYD-LOCO-5.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-5-5,WASZ-COND-5.0,4.90175,1.88398,1.5697556391848535,-0.3142243608151465,0.09873694892968736,1.9299269999999997
HYD-LOCO-5.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-5-1,WASZ-COND-5.0,4.919,2.05655,0.9503846161533147,-1.1061653838466854,1.2236018564206848,1.9299269999999997
HYD-LOCO-5.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-5-2,WASZ-COND-5.0,4.97525,2.06798,0.9618773750844412,-1.1061026249155588,1.2234630168450893,1.9299269999999997
HYD-LOCO-5.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-5-3,WASZ-COND-5.0,4.98425,2.15813,0.9637161303544417,-1.1944138696455582,1.4266244920016764,1.9299269999999997
HYD-LOCO-5.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-5-4,WASZ-COND-5.0,4.90175,2.00099,0.9468599842512049,-1.054130015748795,1.1111900901025547,1.9299269999999997
HYD-LOCO-5.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-5-5,WASZ-COND-5.0,4.90175,1.88398,0.9468599842512049,-0.9371200157487951,0.878193923917022,1.9299269999999997
HYD-LOCO-6.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-6-1,WASZ-COND-6.0,6.008,1.96328,1.42167435,-0.5416056499999999,0.29333668011192243,1.9224379999999996
HYD-LOCO-6.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-6-2,WASZ-COND-6.0,5.97725,1.94945,1.42167435,-0.5277756499999999,0.2785471367329224,1.9224379999999996
HYD-LOCO-6.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-6-3,WASZ-COND-6.0,6.0575,2.22997,1.42167435,-0.8082956499999998,0.6533418578089222,1.9224379999999996
HYD-LOCO-6.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-6-4,WASZ-COND-6.0,6.0785,2.02783,1.42167435,-0.6061556499999998,0.3674246720269223,1.9224379999999996
HYD-LOCO-6.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-6-5,WASZ-COND-6.0,5.90975,1.89954,1.42167435,-0.47786565000000003,0.22835557944992252,1.9224379999999996
HYD-LOCO-6.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-6-6,WASZ-COND-6.0,5.9975,2.17602,1.42167435,-0.7543456499999999,0.5690373596739223,1.9224379999999996
HYD-LOCO-6.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-6-1,WASZ-COND-6.0,6.008,1.96328,1.8335671409355374,-0.1297128590644625,0.016825425806677112,1.9224379999999996
HYD-LOCO-6.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-6-2,WASZ-COND-6.0,5.97725,1.94945,1.8283921698513976,-0.12105783014860227,0.014654998240287837,1.9224379999999996
HYD-LOCO-6.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-6-3,WASZ-COND-6.0,6.0575,2.22997,1.8417640686926073,-0.38820593130739245,0.15070384510223991,1.9224379999999996
HYD-LOCO-6.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-6-4,WASZ-COND-6.0,6.0785,2.02783,1.8451917928539396,-0.18263820714606016,0.03335671470952718,1.9224379999999996
HYD-LOCO-6.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-6-5,WASZ-COND-6.0,5.90975,1.89954,1.8168095766090397,-0.08273042339096026,0.006844322954447545,1.9224379999999996
HYD-LOCO-6.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-6-6,WASZ-COND-6.0,5.9975,2.17602,1.8318072240705618,-0.344212775929438,0.11848243511304948,1.9224379999999996
HYD-LOCO-6.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-6-1,WASZ-COND-6.0,6.008,1.96328,1.1734474023978692,-0.7898325976021308,0.6238355322349294,1.9224379999999996
HYD-LOCO-6.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-6-2,WASZ-COND-6.0,5.97725,1.94945,1.1671702368767,-0.7822797631232998,0.611961627792246,1.9224379999999996
HYD-LOCO-6.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-6-3,WASZ-COND-6.0,6.0575,2.22997,1.1835515272105113,-1.0464184727894885,1.0949916201950856,1.9224379999999996
HYD-LOCO-6.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-6-4,WASZ-COND-6.0,6.0785,2.02783,1.1878379092377145,-0.8399920907622853,0.7055867125431954,1.9224379999999996
HYD-LOCO-6.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-6-5,WASZ-COND-6.0,5.90975,1.89954,1.1533901236543898,-0.7461498763456103,0.5567396379705695,1.9224379999999996
HYD-LOCO-6.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-6-6,WASZ-COND-6.0,5.9975,2.17602,1.1713040110771544,-1.0047159889228454,1.0094542183972113,1.9224379999999996
HYD-LOCO-7.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-7-1,WASZ-COND-7.0,7.16225,1.99020,1.43215285,-0.5580471499999999,0.31141662162312245,1.9299269999999997
HYD-LOCO-7.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-7-2,WASZ-COND-7.0,7.15325,1.84961,1.43215285,-0.41745714999999994,0.17427047208612245,1.9299269999999997
HYD-LOCO-7.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-7-3,WASZ-COND-7.0,7.1435,1.92239,1.43215285,-0.49023715,0.2403324632401225,1.9299269999999997
HYD-LOCO-7.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-7-4,WASZ-COND-7.0,7.1885,1.98272,1.43215285,-0.55056715,0.3031241866591225,1.9299269999999997
HYD-LOCO-7.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-7-1,WASZ-COND-7.0,7.16225,1.99020,2.037586059280939,0.047386059280938975,0.002245438614176663,1.9299269999999997
HYD-LOCO-7.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-7-2,WASZ-COND-7.0,7.15325,1.84961,2.036790861621143,0.18718086162114322,0.03503667495723357,1.9299269999999997
HYD-LOCO-7.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-7-3,WASZ-COND-7.0,7.1435,1.92239,2.035922851126017,0.11353285112601696,0.01288970828480233,1.9299269999999997
HYD-LOCO-7.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-7-4,WASZ-COND-7.0,7.1885,1.98272,2.0398722511171288,0.05715225111712874,0.0032663798077553433,1.9299269999999997
HYD-LOCO-7.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-7-1,WASZ-COND-7.0,7.16225,1.99020,1.428375161049189,-0.5618248389508109,0.3156471496621046,1.9299269999999997
HYD-LOCO-7.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-7-2,WASZ-COND-7.0,7.15325,1.84961,1.4265158638590947,-0.4230941361409053,0.1790086480368189,1.9299269999999997
HYD-LOCO-7.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-7-3,WASZ-COND-7.0,7.1435,1.92239,1.4245015973574482,-0.49788840264255185,0.24789286148595183,1.9299269999999997
HYD-LOCO-7.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-7-4,WASZ-COND-7.0,7.1885,1.98272,1.4337979712581728,-0.5489220287418273,0.30131539363804344,1.9299269999999997
