condition_id,shot_id,analyte,profile_position,source_fraction_id,observer,window_start_s,window_end_s,observed_share,O0_predicted_share,O1_predicted_share,O0_residual,O1_residual,prediction_identity,source_id,rights,target_exposure
PRED-C01,PRED-E01-R3,trigonelline,2,2,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,2.98746591276,6.06645752585,0.25778525308883127,0.2727603659942161,0.2727603659942161,0.014975112905384835,0.014975112905384835,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C01,PRED-E01-R3,trigonelline,3,3,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,6.06645752585,9.11135505166,0.17519299136517699,0.17399453690252101,0.17399453690252101,-0.0011984544626559845,-0.0011984544626559845,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C01,PRED-E01-R3,trigonelline,4,5,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,11.8796026209,14.7736327757,0.080652973548688653,0.081924151771406717,0.081924151771406717,0.001271178222718064,0.001271178222718064,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C01,PRED-E01-R3,trigonelline,5,7,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,17.7283162997,20.5518307368,0.048620019793245144,0.041490899662582827,0.041490899662582827,-0.007129120130662317,-0.007129120130662317,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C01,PRED-E01-R3,trigonelline,6,10,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,26.626103773,29.6691472065,0.023586746242196973,0.017263380020221424,0.017263380020221424,-0.0063233662219755495,-0.0063233662219755495,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C02,PRED-E02-R1,caffeine,1,1,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,0,3.28093845827,0.36091565606418979,0.35755095749360266,0.35755095749360266,-0.0033646985705871324,-0.0033646985705871324,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C02,PRED-E02-R1,caffeine,2,2,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,3.28093845827,6.58165448762,0.24590573813923028,0.25876786829766596,0.25876786829766596,0.012862130158435681,0.012862130158435681,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C02,PRED-E02-R1,caffeine,3,3,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,6.58165448762,9.65960610244,0.16997197106589076,0.17952627679088334,0.17952627679088334,0.0095543057249925789,0.0095543057249925789,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C02,PRED-E02-R1,caffeine,4,5,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,12.576074206,15.5322424347,0.1076162529755598,0.10297768910058629,0.10297768910058629,-0.0046385638749735086,-0.0046385638749735086,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C02,PRED-E02-R1,caffeine,5,7,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,18.5372877658,21.3470797593,0.071000896410969197,0.063002751961171388,0.063002751961171388,-0.0079981444497978088,-0.0079981444497978088,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C02,PRED-E02-R1,caffeine,6,10,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,27.3092399216,30.2732325877,0.044589485344160303,0.038174456356090222,0.038174456356090222,-0.0064150289880700803,-0.0064150289880700803,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C02,PRED-E02-R1,trigonelline,1,1,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,0,3.28093845827,0.418393985430003,0.42894595461188656,0.42894595461188656,0.010551969181883558,0.010551969181883558,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C02,PRED-E02-R1,trigonelline,2,2,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,3.28093845827,6.58165448762,0.24139063827689014,0.2656418180573098,0.2656418180573098,0.024251179780419657,0.024251179780419657,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C02,PRED-E02-R1,trigonelline,3,3,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,6.58165448762,9.65960610244,0.16629633425387058,0.1673025247096824,0.1673025247096824,0.0010061904558118229,0.0010061904558118229,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
