bed_depth_m,case_id,case_kind,closure,phi,primary_eligible,saturated_k_m2,source,source_identity,transfer_interpretation,wetting_k_m2
0.007836226866463089,VACA_C1_05_PUBLISHED,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.31,false,3.351101042673951e-13,VACA_C1,B:19.86g:PUBLISHED,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.007836226866463089,VACA_C1_05_EWP_MU,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.31,false,3.0159909384065563e-14,VACA_C1,B:19.86g:EWP_MU,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.008448432090405517,VACA_C1_06_PUBLISHED,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.36,false,6.083278541952441e-13,VACA_C1,B:17.5g:PUBLISHED,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.008448432090405517,VACA_C1_06_EWP_MU,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.36,false,5.4749506877571975e-14,VACA_C1,B:17.5g:EWP_MU,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.007114469128762541,VACA_C1_07_PUBLISHED,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.24,false,5.262739547780793e-14,VACA_C1,C:22.2g:PUBLISHED,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.007114469128762541,VACA_C1_07_EWP_MU,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.24,false,4.736465593002714e-15,VACA_C1,C:22.2g:EWP_MU,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.007406844572410318,VACA_C1_08_PUBLISHED,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.27,false,9.965845044477272e-14,VACA_C1,C:19.86g:PUBLISHED,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.007406844572410318,VACA_C1_08_EWP_MU,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.27,false,8.969260540029545e-15,VACA_C1,C:19.86g:EWP_MU,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.008318456212091586,VACA_C1_09_PUBLISHED,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.35,false,4.71035674358308e-13,VACA_C1,C:17.5g:PUBLISHED,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.008318456212091586,VACA_C1_09_EWP_MU,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.35,false,4.239321069224772e-14,VACA_C1,C:17.5g:EWP_MU,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
