model_id,physical_brew_id,condition_id,training_window,evaluation_window,parameter_training_source,state_initialization,state_at_split,modeled_progress_at_split,observed_progress_used_after_initialization,nrmse,coverage_fraction,failed,invalid_intervals
W-H0A,12-8-7,13,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,76.91932337469446,False,0.005263497386262431,1.0,False,0
W-H1,12-8-7,13,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,85.21128876299686,False,0.4980836812805316,1.0,False,0
W-H2,12-8-7,13,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,87.30586016426658,False,0.6241264002865908,1.0,False,0
W-H3,12-8-7,13,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,83.5181522712386,False,0.3556655318296797,1.0,False,0
W-H5,12-8-7,13,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,76.9279824967058,False,0.0054780958859954485,1.0,False,0
W-H0A,2-2,2,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,21.872558430220472,False,0.19240618871511683,1.0,False,0
W-H1,2-2,2,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,23.530782940882915,False,0.8047674432946521,1.0,False,0
W-H2,2-2,2,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,17.605156206259934,False,0.9197452950356196,1.0,False,0
W-H3,2-2,2,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,23.33702072354794,False,0.6355304591340709,1.0,False,0
W-H5,2-2,2,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,21.876140616214172,False,0.19242846853505657,1.0,False,0
W-H0A,2-3,2,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,17.922474268949824,False,0.22291412431572027,1.0,False,0
W-H1,2-3,2,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,19.175064374027254,False,0.8545183665695194,1.0,False,0
W-H2,2-3,2,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,13.802842314474944,False,0.7954742465015439,1.0,False,0
W-H3,2-3,2,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,19.05121852559386,False,0.6809424539065705,1.0,False,0
W-H5,2-3,2,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,17.92547581997006,False,0.22289681650102983,1.0,False,0
W-H0A,2-4,2,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,21.676444309068486,False,0.29261972466431924,1.0,False,0
W-H1,2-4,2,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,23.308108866381886,False,0.9883842834840093,1.0,False,0
W-H2,2-4,2,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,17.404451955380882,False,1.1100567628499283,1.0,False,0
W-H3,2-4,2,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,23.12140358274557,False,0.7964471776459223,1.0,False,0
W-H5,2-4,2,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,21.680192425655605,False,0.2928166694781986,1.0,False,0
W-H0A,2-5,2,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,17.721965352491658,False,0.20947654075044,1.0,False,0
W-H1,2-5,2,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,18.967896233129043,False,0.8319168373657898,1.0,False,0
W-H2,2-5,2,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,13.627896938355923,False,0.766240524535003,1.0,False,0
W-H3,2-5,2,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,18.847688098814896,False,0.6608566256109089,1.0,False,0
W-H5,2-5,2,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,17.721242678468375,False,0.20961210124570323,1.0,False,0
W-H0A,3-5-3,3.5,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,30.375141063507833,False,0.23729140120689707,1.0,False,0
W-H1,3-5-3,3.5,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,32.96884631229825,False,0.05429646954687066,1.0,False,0
W-H2,3-5-3,3.5,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,27.079440716557386,False,0.22245355030342107,1.0,False,0
W-H3,3-5-3,3.5,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,32.59183566055562,False,0.029833653257491276,1.0,False,0
W-H5,3-5-3,3.5,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,30.381554180485445,False,0.23731996791514434,1.0,False,0
W-H0A,3-5-4,3.5,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,30.404447428732134,False,0.20286577330814196,1.0,False,0
W-H1,3-5-4,3.5,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,33.00921419124492,False,0.1222083481819193,1.0,False,0
W-H2,3-5-4,3.5,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,27.090765715471896,False,0.311074711766598,1.0,False,0
W-H3,3-5-4,3.5,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,32.631479928868984,False,0.03328370076517139,1.0,False,0
W-H5,3-5-4,3.5,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,30.389064679496553,False,0.20254352031887285,1.0,False,0
W-H0A,3-5-5,3.5,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,30.070521476839446,False,0.19615197202611917,1.0,False,0
W-H1,3-5-5,3.5,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,32.36641786988636,False,0.13798683036715695,1.0,False,0
W-H2,3-5-5,3.5,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,26.63063402189674,False,0.3261324187167153,1.0,False,0
W-H3,3-5-5,3.5,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,32.02752398816638,False,0.04542032807239198,1.0,False,0
