geometry_id,physical_lineage_id,family,L,voxel_um,seed,relation,frozen_relation,analysis_relation,parent_id,geometry_sha256,phi_gross,phi_connected_x,phi_connected_y,phi_connected_z,solid_fraction,specific_interfacial_area_lu,pore_distance_q10,pore_distance_q50,pore_distance_q90,euler_characteristic,state_phis,state_amp,state_hlen,restriction_fraction
BASE-L24-S307,LINEAGE-e05ff5681b76d793,BASELINE,24,30.0,307,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,411e1bc793875b624e2115c734c9258638650e3b2c734fc5adb81d068d1e21bb,0.30656828703703703,0.30656828703703703,0.30656828703703703,0.30656828703703703,0.6934317129629629,0.16666666666666666,1.0,2.0,4.0,-1,0.55,0,8,0.0
BASE-L24-S401,LINEAGE-7eff4ec15556c91f,BASELINE,24,30.0,401,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,c7ee63746d2c3a30043ddd0bb4959711f0c99cd61182cd4233f7f193cffc6beb,0.3609664351851852,0.3609664351851852,0.3609664351851852,0.3609664351851852,0.6390335648148148,0.17201967592592593,1.0,2.0,4.123105625617661,0,0.55,0,8,0.0
BASE-L24-S503,LINEAGE-c90c02c23516a928,BASELINE,24,30.0,503,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,7ea59a784a701024e4f7ad05751497e27ecfd8f82be02ead8990aa296fb7cb66,0.38722511574074076,0.38722511574074076,0.38722511574074076,0.38722511574074076,0.6127748842592593,0.1775173611111111,1.0,2.23606797749979,4.47213595499958,-1,0.55,0,8,0.0
BASE-L24-S601,LINEAGE-84a2f90148298a5f,BASELINE,24,30.0,601,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,656543e11bbcc96cd18a8324d7ef46a6cd8d223a5a28fd06f0e2191e170af2e6,0.44632523148148145,0.44632523148148145,0.44632523148148145,0.44632523148148145,0.5536747685185185,0.18287037037037038,1.0,2.23606797749979,4.242640687119285,1,0.55,0,8,0.0
BASE-L24-S701,LINEAGE-81c1f3ba90e952b2,BASELINE,24,30.0,701,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,830c7b40072d33575471535ddfe6a9f92c4cfd0110bf268f928abcd99e2a9935,0.4291087962962963,0.4291087962962963,0.4291087962962963,0.4291087962962963,0.5708912037037037,0.19039351851851852,1.0,2.23606797749979,4.242640687119285,1,0.55,0,8,0.0
BASE-L24-S809,LINEAGE-1a0e94f83b1f9fd5,BASELINE,24,30.0,809,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,a3475e2c0483be404d910a69160dc2606d2610ebece8dc205f8083fae13863da,0.30107060185185186,0.30107060185185186,0.30107060185185186,0.30107060185185186,0.6989293981481481,0.16565393518518517,1.0,2.0,3.7416573867739413,0,0.55,0,8,0.0
BASE-L24-S907,LINEAGE-f6716acd691793fd,BASELINE,24,30.0,907,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,f1ac5c6c2a6301f29c0f010b60ebba20294e36cce2c1177ad9073fcd4a09cba5,0.4123263888888889,0.41218171296296297,0.41218171296296297,0.41218171296296297,0.5876736111111112,0.2019675925925926,1.0,2.0,4.123105625617661,-3,0.55,0,8,0.0
BASE-L32-S1009,LINEAGE-707beaee0cf5eb43,BASELINE,32,30.0,1009,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,e8dea2dd521cb2af020f0faa34f0a4dde6ec27b6f154d020bd004cd378d0ddaf,0.429168701171875,0.429168701171875,0.429168701171875,0.429168701171875,0.570831298828125,0.152587890625,1.0,2.8284271247461903,5.830951894845301,0,0.55,0,8,0.0
BASE-L32-S101,LINEAGE-f437c258e5ed4be5,BASELINE,32,30.0,101,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,94063f8aba77cd792b8cfcb798b9288884b88ed04014ff8b589dadd77ba78477,0.34674072265625,0.346710205078125,0.346710205078125,0.346710205078125,0.65325927734375,0.16741943359375,1.0,2.23606797749979,4.242640687119285,-4,0.55,0,8,0.0
BASE-L32-S1103,LINEAGE-7fd6f54394822e5b,BASELINE,32,30.0,1103,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,82de938e5baffe3c19bb33120a9f64c71e8b1233e37b9a3ab006fa2b984081a0,0.417022705078125,0.417022705078125,0.417022705078125,0.417022705078125,0.582977294921875,0.18408203125,1.0,2.23606797749979,4.242640687119285,0,0.55,0,8,0.0
