case_id,geometry_id,family,state,L,voxel_um,seed,relation,parent_id,direction,force,precision,purpose
DEP40-L40-S101-X,DEP40-L40-S101,THROAT_RESTRICTION,"{""amp"":0,""hlen"":8,""phis"":0.55,""restriction"":0.4}",40,30,101,PAIRED_TRANSFORMATION,BASE-L40-S101,X,1e-05,f32,SCORED
DEP00-L40-S211-X,DEP00-L40-S211,THROAT_RESTRICTION,"{""amp"":0,""hlen"":8,""phis"":0.55,""restriction"":0}",40,30,211,PAIRED_TRANSFORMATION,BASE-L40-S211,X,1e-05,f32,SCORED
DEP10-L40-S211-X,DEP10-L40-S211,THROAT_RESTRICTION,"{""amp"":0,""hlen"":8,""phis"":0.55,""restriction"":0.1}",40,30,211,PAIRED_TRANSFORMATION,BASE-L40-S211,X,1e-05,f32,SCORED
DEP20-L40-S211-X,DEP20-L40-S211,THROAT_RESTRICTION,"{""amp"":0,""hlen"":8,""phis"":0.55,""restriction"":0.2}",40,30,211,PAIRED_TRANSFORMATION,BASE-L40-S211,X,1e-05,f32,SCORED
DEP30-L40-S211-X,DEP30-L40-S211,THROAT_RESTRICTION,"{""amp"":0,""hlen"":8,""phis"":0.55,""restriction"":0.3}",40,30,211,PAIRED_TRANSFORMATION,BASE-L40-S211,X,1e-05,f32,SCORED
DEP40-L40-S211-X,DEP40-L40-S211,THROAT_RESTRICTION,"{""amp"":0,""hlen"":8,""phis"":0.55,""restriction"":0.4}",40,30,211,PAIRED_TRANSFORMATION,BASE-L40-S211,X,1e-05,f32,SCORED
DEP00-L40-S307-X,DEP00-L40-S307,THROAT_RESTRICTION,"{""amp"":0,""hlen"":8,""phis"":0.55,""restriction"":0}",40,30,307,PAIRED_TRANSFORMATION,BASE-L40-S307,X,1e-05,f32,SCORED
DEP10-L40-S307-X,DEP10-L40-S307,THROAT_RESTRICTION,"{""amp"":0,""hlen"":8,""phis"":0.55,""restriction"":0.1}",40,30,307,PAIRED_TRANSFORMATION,BASE-L40-S307,X,1e-05,f32,SCORED
DEP20-L40-S307-X,DEP20-L40-S307,THROAT_RESTRICTION,"{""amp"":0,""hlen"":8,""phis"":0.55,""restriction"":0.2}",40,30,307,PAIRED_TRANSFORMATION,BASE-L40-S307,X,1e-05,f32,SCORED
DEP30-L40-S307-X,DEP30-L40-S307,THROAT_RESTRICTION,"{""amp"":0,""hlen"":8,""phis"":0.55,""restriction"":0.3}",40,30,307,PAIRED_TRANSFORMATION,BASE-L40-S307,X,1e-05,f32,SCORED
DEP40-L40-S307-X,DEP40-L40-S307,THROAT_RESTRICTION,"{""amp"":0,""hlen"":8,""phis"":0.55,""restriction"":0.4}",40,30,307,PAIRED_TRANSFORMATION,BASE-L40-S307,X,1e-05,f32,SCORED
DEP00-L40-S401-X,DEP00-L40-S401,THROAT_RESTRICTION,"{""amp"":0,""hlen"":8,""phis"":0.55,""restriction"":0}",40,30,401,PAIRED_TRANSFORMATION,BASE-L40-S401,X,1e-05,f32,SCORED
DEP10-L40-S401-X,DEP10-L40-S401,THROAT_RESTRICTION,"{""amp"":0,""hlen"":8,""phis"":0.55,""restriction"":0.1}",40,30,401,PAIRED_TRANSFORMATION,BASE-L40-S401,X,1e-05,f32,SCORED
DEP20-L40-S401-X,DEP20-L40-S401,THROAT_RESTRICTION,"{""amp"":0,""hlen"":8,""phis"":0.55,""restriction"":0.2}",40,30,401,PAIRED_TRANSFORMATION,BASE-L40-S401,X,1e-05,f32,SCORED
DEP30-L40-S401-X,DEP30-L40-S401,THROAT_RESTRICTION,"{""amp"":0,""hlen"":8,""phis"":0.55,""restriction"":0.3}",40,30,401,PAIRED_TRANSFORMATION,BASE-L40-S401,X,1e-05,f32,SCORED
DEP40-L40-S401-X,DEP40-L40-S401,THROAT_RESTRICTION,"{""amp"":0,""hlen"":8,""phis"":0.55,""restriction"":0.4}",40,30,401,PAIRED_TRANSFORMATION,BASE-L40-S401,X,1e-05,f32,SCORED
H1-C4-L40-S101-X,H1-C4-L40-S101,HETEROGENEITY_FABRIC,"{""amp"":1,""hlen"":4,""phis"":0.55}",40,30,101,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
H1-C4-L40-S211-X,H1-C4-L40-S211,HETEROGENEITY_FABRIC,"{""amp"":1,""hlen"":4,""phis"":0.55}",40,30,211,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
H1-C4-L40-S307-X,H1-C4-L40-S307,HETEROGENEITY_FABRIC,"{""amp"":1,""hlen"":4,""phis"":0.55}",40,30,307,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
H1-C4-L40-S401-X,H1-C4-L40-S401,HETEROGENEITY_FABRIC,"{""amp"":1,""hlen"":4,""phis"":0.55}",40,30,401,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
H1-C4-L40-S503-X,H1-C4-L40-S503,HETEROGENEITY_FABRIC,"{""amp"":1,""hlen"":4,""phis"":0.55}",40,30,503,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
H1-C4-L40-S601-X,H1-C4-L40-S601,HETEROGENEITY_FABRIC,"{""amp"":1,""hlen"":4,""phis"":0.55}",40,30,601,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
H1-C4-L40-S701-X,H1-C4-L40-S701,HETEROGENEITY_FABRIC,"{""amp"":1,""hlen"":4,""phis"":0.55}",40,30,701,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
H1-C4-L40-S809-X,H1-C4-L40-S809,HETEROGENEITY_FABRIC,"{""amp"":1,""hlen"":4,""phis"":0.55}",40,30,809,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
