case_id,geometry_id,family,L,voxel_um,seed,relation,parent_id,direction,force,precision,purpose,status,geometry_sha256,K_gross_lu2,K_void_lu2,q_box_lu,phi_gross,phi_connected_x,phi_connected_y,phi_connected_z,solid_fraction,specific_interfacial_area_lu,pore_distance_q10,pore_distance_q50,pore_distance_q90,euler_characteristic,velocity_cv,flux_gini,top_10_flow_share,top_25_flow_share,normalized_flow_entropy,Mach,steps,wall_seconds,state_phis,state_amp,state_hlen,restriction_fraction,physical_lineage_id
BASE-L160-S503-X,BASE-L160-S503,BASELINE,160,30.0,503,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_2,PASS,482d26e05f2896d69502ffd158c622035858eb0e51d0c15f57853a5d1c14f785,1.7405493726639225,3.868861426938762,7.459497311416813e-05,0.44988671875,0.44980322265625,0.44980322265625,0.44980322265625,0.55011328125,0.15197265625,1.0,2.8284271247461903,6.164414002968976,-341,0.4533653592761203,0.24598979687883302,0.2164929752039917,0.3938685440422619,0.9654411459885525,0.002362750841118862,2400,20.4,0.55,0,8,0.0,LINEAGE-ed399fc218de8eed
BASE-L160-S601-X,BASE-L160-S601,BASELINE,160,30.0,601,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_2,PASS,b385759cf207ac02d0d2a451a65d991a1bf46a33cbdf1d702010fc3f20e4ffd5,1.7152409757218359,3.8126022454394706,7.351032753093584e-05,0.44988720703125,0.449799072265625,0.449799072265625,0.449799072265625,0.55011279296875,0.1531591796875,1.0,2.8284271247461903,6.164414002968976,-360,0.3947143786217726,0.21048664234565728,0.21144333603092613,0.3823954868327482,0.9746310440840439,0.0022175365313901896,3000,25.3,0.55,0,8,0.0,LINEAGE-399ce2b2720fbd50
BASE-L160-S701-X,BASE-L160-S701,BASELINE,160,30.0,701,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_2,PASS,f68738afe13aba0471c30c0a702b15c3de2ed2ef571a8491db3e86d703217103,1.7107284103126814,3.802557363412053,7.33169318705435e-05,0.449888916015625,0.4498154296875,0.4498154296875,0.4498154296875,0.550111083984375,0.1512021484375,1.0,2.8284271247461903,6.324555320336759,-365,0.42004180301402144,0.22884647875809155,0.21635321357403092,0.39680510243412687,0.9703092549494715,0.002033964565541354,3400,28.6,0.55,0,8,0.0,LINEAGE-9f6b2b22f246b394
BASE-L160-S809-X,BASE-L160-S809,BASELINE,160,30.0,809,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_2,PASS,deaafd1a69f36ff72a9aa9ac111f636eb5bd9fb4d63bb3b82eb4859a0ac2cce3,1.7163900948455308,3.817178239363878,7.355957549337991e-05,0.44964892578125,0.449560791015625,0.449560791015625,0.449560791015625,0.55035107421875,0.154310546875,1.0,2.8284271247461903,6.164414002968976,-355,0.44564217869689804,0.2402343007613325,0.21951006978603688,0.4093021305743611,0.9675049335588525,0.0018387407894378286,14400,119.4,0.55,0,8,0.0,LINEAGE-33e7620090869406
BASE-L24-S1009-X,BASE-L24-S1009,BASELINE,24,30.0,1009,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_3,PASS,e29a261db8f2798f4599e4ed9810dabd449ee412ac7e693472bd5fbf29a78c15,0.7741654596636571,1.9220659688201143,3.317851969987103e-05,0.4027777777777778,0.4027777777777778,0.4027777777777778,0.4027777777777778,0.5972222222222222,0.20572916666666666,1.0,2.0,3.605551275463989,1,1.4245758473646906,0.6661151380197925,0.5119097962201078,0.7991734032506527,0.7065537384910364,0.0005385904413864391,9400,1.1,0.55,0,8,0.0,LINEAGE-f149db10340eb480
BASE-L24-S101-X,BASE-L24-S101,BASELINE,24,30.0,101,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED,PASS,0ff83eaa871862722cdec71c8fdd8b622fec4231c83ffb4cc5ce183e59ac15a2,1.2148544917161377,2.94841090124366,5.206519250212019e-05,0.41203703703703703,0.41203703703703703,0.41203703703703703,0.41203703703703703,0.5879629629629629,0.19039351851851852,1.0,2.23606797749979,4.242640687119285,1,1.412469646714383,0.6633841773132335,0.5156759815474508,0.7933856979616059,0.7053282635303915,0.0007016470770584064,6200,2.5,0.55,0,8,0.0,LINEAGE-2e949a90570d3484
BASE-L24-S1103-X,BASE-L24-S1103,BASELINE,24,30.0,1103,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_3,PASS,7699b1e50ea6afaca781fb63472a3fab774b413547787699ad0ce15dddf3af78,0.22851235552956214,0.5764516063577859,9.793386665552666e-06,0.39641203703703703,0.39641203703703703,0.39641203703703703,0.39641203703703703,0.6035879629629629,0.2037037037037037,1.0,2.0,3.605551275463989,-1,1.309308668023004,0.6399542873932429,0.41110223776070565,0.7703018835463539,0.7216624795661303,0.00032888366637031296,4200,0.9,0.55,0,8,0.0,LINEAGE-f13dca266369e7bf
BASE-L24-S1201-X,BASE-L24-S1201,BASELINE,24,30.0,1201,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_3,PASS,afdcb707a3d4382aca3d6c9336abcd22d3b30500a2c2c81a0b11f2d9506a43b3,0.7438980521943863,2.011667972131298,3.188134509404513e-05,0.3697916666666667,0.3697916666666667,0.3697916666666667,0.3697916666666667,0.6302083333333334,0.20052083333333334,1.0,2.0,3.605551275463989,-2,1.2470604253327986,0.621576536007916,0.4234130557729473,0.7121648270366738,0.7469899842486774,0.00037757003950564927,13400,1.2,0.55,0,8,0.0,LINEAGE-1cdd60eb24acfb3a
BASE-L24-S1301-X,BASE-L24-S1301,BASELINE,24,30.0,1301,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_4,PASS,7b54fb664e5b788cd85e5f8c25091cb2964173314fe87b89f6037a7ed159f650,0.131424823795279,0.31618808982699914,5.632492448369101e-06,0.4156539351851852,0.4156539351851852,0.4156539351851852,0.4156539351851852,0.5843460648148148,0.1947337962962963,1.0,2.23606797749979,4.242640687119285,1,1.4956318618104105,0.6700606739915019,0.49439347689206536,0.8661583451673472,0.6742355794177064,0.00026709898774243435,38000,2.3,0.55,0,8,0.0,LINEAGE-fdf3984153637443
BASE-L24-S1409-X,BASE-L24-S1409,BASELINE,24,30.0,1409,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_4,PASS,20f5fbd2fc1aa6d60622fd7966d34b910d357f7518b478c6806cf72e9e654210,0.5995649832206216,1.5793419070201737,2.5695642138026645e-05,0.37962962962962965,0.37962962962962965,0.37962962962962965,0.37962962962962965,0.6203703703703703,0.2126736111111111,1.0,1.7320508075688772,3.360867837790133,-1,1.2937050820087088,0.6328452930129018,0.47249369820589326,0.723991210727518,0.7408692604683978,0.0004108912255454243,5800,0.9,0.55,0,8,0.0,LINEAGE-4eabc902c0d554cb
