case_id,geometry_id,family,L,voxel_um,seed,relation,parent_id,direction,force,precision,purpose,status,geometry_sha256,K_gross_lu2,K_void_lu2,q_box_lu,phi_gross,phi_connected_x,phi_connected_y,phi_connected_z,solid_fraction,specific_interfacial_area_lu,pore_distance_q10,pore_distance_q50,pore_distance_q90,euler_characteristic,velocity_cv,flux_gini,top_10_flow_share,top_25_flow_share,normalized_flow_entropy,Mach,steps,wall_seconds,state_phis,state_amp,state_hlen,restriction_fraction
DIR-DEP30-L40-S307-Z,DIR-DEP30-L40-S307,DIRECTIONAL,40,30,307,INDEPENDENT_REALIZATIONS,,Z,1e-05,f32,SCORED_DIRECTIONAL,NONCONVERGED,9e4f2ac5aeb64ff163585ce413e4130acd07d64f1ff08b1cdd4f39277300e2e6,0.07417846101846833,0.24629942958142534,3.1790769007915e-06,0.301171875,0.30109375,0.30109375,0.30109375,0.698828125,0.1385625,1.0,2.23606797749979,5.196152422706632,-5,1.8692858517100488,0.740853779648042,0.6385287560849858,0.8532731862621397,0.6121655416379477,0.0004405984671143102,50000,5.6,0.55,0,8,0.3
DIR-DEP30-L40-S401-X,DIR-DEP30-L40-S401,DIRECTIONAL,40,30,401,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED_DIRECTIONAL,PASS,b7be4b021aecb6584199249ce6cd361fd73f582f4c8e90a1c730e97ad357dac6,0.922460147321092,3.015499511111957,3.9534006313761096e-05,0.30590625,0.305875,0.305875,0.305875,0.69409375,0.129125,1.0,2.23606797749979,5.0,3,1.1258957770083067,0.581688871370541,0.33959780338721013,0.6155063023873538,0.748431021722586,0.0007518222892545544,2800,1.0,0.55,0,8,0.3
DIR-DEP30-L40-S401-Y,DIR-DEP30-L40-S401,DIRECTIONAL,40,30,401,INDEPENDENT_REALIZATIONS,,Y,1e-05,f32,SCORED_DIRECTIONAL,PASS,b7be4b021aecb6584199249ce6cd361fd73f582f4c8e90a1c730e97ad357dac6,1.1514584864632433,3.7640894439497177,4.934822084842472e-05,0.30590625,0.305875,0.305875,0.305875,0.69409375,0.129125,1.0,2.23606797749979,5.0,3,1.3071824843537867,0.6400926998166101,0.44497098218372755,0.7044375938479381,0.7190905453828459,0.0009231614775158468,3000,1.0,0.55,0,8,0.3
DIR-DEP30-L40-S401-Z,DIR-DEP30-L40-S401,DIRECTIONAL,40,30,401,INDEPENDENT_REALIZATIONS,,Z,1e-05,f32,SCORED_DIRECTIONAL,NONCONVERGED,b7be4b021aecb6584199249ce6cd361fd73f582f4c8e90a1c730e97ad357dac6,0.062262634936304316,0.20353502073365393,2.6683986401273284e-06,0.30590625,0.305875,0.305875,0.305875,0.69409375,0.129125,1.0,2.23606797749979,5.0,3,2.509636733910247,0.8288374041451966,0.7716750088897064,0.9546454547121204,0.4448234161296336,0.00045677859636922865,50000,5.5,0.55,0,8,0.3
DIR-H2-L40-S101-X,DIR-H2-L40-S101,DIRECTIONAL,40,30,101,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED_DIRECTIONAL,PASS,820efa037dee0d30a1201cdf34364d3fc78f9ef3a324f74cfc85d74612d95d89,1.1320159315330982,2.6616098316722367,4.8514968494275646e-05,0.4253125,0.4253125,0.4253125,0.4253125,0.5746875,0.17846875,1.0,2.23606797749979,4.123105625617661,1,0.813095439776965,0.4397589363748847,0.31826823383237823,0.5136001505350373,0.8738875034555589,0.0006547355150167913,4000,1.1,0.55,2,8,0.0
DIR-H2-L40-S101-Y,DIR-H2-L40-S101,DIRECTIONAL,40,30,101,INDEPENDENT_REALIZATIONS,,Y,1e-05,f32,SCORED_DIRECTIONAL,PASS,820efa037dee0d30a1201cdf34364d3fc78f9ef3a324f74cfc85d74612d95d89,0.6678147309811866,1.5701742388977202,2.8620631327765145e-05,0.4253125,0.4253125,0.4253125,0.4253125,0.5746875,0.17846875,1.0,2.23606797749979,4.123105625617661,1,1.3220119323634898,0.5250821328956873,0.4753930724909028,0.637049205662358,0.8109332819764401,0.0008891785432190613,7800,1.5,0.55,2,8,0.0
DIR-H2-L40-S101-Z,DIR-H2-L40-S101,DIRECTIONAL,40,30,101,INDEPENDENT_REALIZATIONS,,Z,1e-05,f32,SCORED_DIRECTIONAL,PASS,820efa037dee0d30a1201cdf34364d3fc78f9ef3a324f74cfc85d74612d95d89,1.3019592290368132,3.0611826105200604,5.5798252673006294e-05,0.4253125,0.4253125,0.4253125,0.4253125,0.5746875,0.17846875,1.0,2.23606797749979,4.123105625617661,1,1.1989310686852375,0.5509269159442518,0.4161478555717857,0.6308378676614643,0.804904916020182,0.000893617385688634,6800,1.4,0.55,2,8,0.0
DIR-H2-L40-S211-X,DIR-H2-L40-S211,DIRECTIONAL,40,30,211,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED_DIRECTIONAL,PASS,3073d04d127d6130de281f4a327412086577d547b838821bdd1dab3c1d8931ee,4.434929817692953,9.8567685905108,0.00019006842075826942,0.4499375,0.44990625,0.44990625,0.44990625,0.5500625,0.1311875,1.0,3.3166247903554,7.3484692283495345,-5,1.382050801070851,0.658577195319524,0.4879935770376983,0.738149619920089,0.7122287945168827,0.0025321430704823814,4600,1.1,0.55,2,8,0.0
DIR-H2-L40-S211-Y,DIR-H2-L40-S211,DIRECTIONAL,40,30,211,INDEPENDENT_REALIZATIONS,,Y,1e-05,f32,SCORED_DIRECTIONAL,NONCONVERGED,3073d04d127d6130de281f4a327412086577d547b838821bdd1dab3c1d8931ee,0.16705482524935739,0.37128451229194587,7.159492510686746e-06,0.4499375,0.44990625,0.44990625,0.44990625,0.5500625,0.1311875,1.0,3.3166247903554,7.3484692283495345,-5,1.0602385184584509,0.5333339600067009,0.3944235731990191,0.6614499973133503,0.8222741620894198,0.0004952718031321729,50000,5.5,0.55,2,8,0.0
DIR-H2-L40-S211-Z,DIR-H2-L40-S211,DIRECTIONAL,40,30,211,INDEPENDENT_REALIZATIONS,,Z,1e-05,f32,SCORED_DIRECTIONAL,PASS,3073d04d127d6130de281f4a327412086577d547b838821bdd1dab3c1d8931ee,2.551722400541449,5.671281901467313,0.00010935953145177642,0.4499375,0.44990625,0.44990625,0.44990625,0.5500625,0.1311875,1.0,3.3166247903554,7.3484692283495345,-5,1.3451624439428065,0.6156105961528966,0.5268142842435152,0.6921559966582331,0.7440509355562637,0.002009887867807103,6600,1.3,0.55,2,8,0.0
