case_id,geometry_id,family,direction,phi_gross,phi_connected_x,phi_connected_y,phi_connected_z,specific_interfacial_area_lu,pore_distance_q10,pore_distance_q50,pore_distance_q90,euler_characteristic,velocity_cv,flux_gini,top_10_flow_share,top_25_flow_share,normalized_flow_entropy
BASE-L32-S1901-X,BASE-L32-S1901,BASELINE,X,0.4134521484375,0.413360595703125,0.413360595703125,0.413360595703125,0.17547607421875,1.0,2.23606797749979,4.47213595499958,1,1.15886822298132,0.5757862804489774,0.41593269454740533,0.6458327909210592,0.7868081938759254
BASE-L32-S211-X,BASE-L32-S211,BASELINE,X,0.440643310546875,0.440521240234375,0.440521240234375,0.440521240234375,0.1708984375,1.0,2.23606797749979,5.0,1,1.4490669624220047,0.6079035439444809,0.5579048904013721,0.707030856465363,0.7487072165020677
BASE-L32-S2111-X,BASE-L32-S2111,BASELINE,X,0.40234375,0.402191162109375,0.402191162109375,0.402191162109375,0.18017578125,1.0,2.23606797749979,4.58257569495584,-1,1.5002822130859883,0.6438198221943028,0.5026321201930823,0.7251680614354552,0.7183391173900517
BASE-L32-S2309-X,BASE-L32-S2309,BASELINE,X,0.40167236328125,0.401519775390625,0.401519775390625,0.401519775390625,0.17926025390625,1.0,2.23606797749979,4.69041575982343,-2,1.683468446046777,0.6850369622527912,0.5904777498317536,0.7927573250816586,0.6808800953561829
BASE-L32-S307-X,BASE-L32-S307,BASELINE,X,0.421844482421875,0.42181396484375,0.42181396484375,0.42181396484375,0.1663818359375,1.0,2.23606797749979,5.0,-3,1.3068372079187047,0.6307460544711062,0.4498849122730437,0.7306447795893615,0.7418729693942692
BASE-L32-S401-X,BASE-L32-S401,BASELINE,X,0.444122314453125,0.444091796875,0.444091796875,0.444091796875,0.13250732421875,1.0,3.0,5.385164807134504,0,1.1238524809599644,0.589239052131765,0.37618626609866035,0.6420376185618097,0.7553673737598814
BASE-L32-S503-X,BASE-L32-S503,BASELINE,X,0.4173583984375,0.4173583984375,0.4173583984375,0.4173583984375,0.1607666015625,1.0,2.23606797749979,5.0990195135927845,1,1.1810064429182672,0.6069106524931167,0.40709202136635725,0.6751231376962595,0.7560755367602853
BASE-L32-S601-X,BASE-L32-S601,BASELINE,X,0.36663818359375,0.3665771484375,0.3665771484375,0.3665771484375,0.16180419921875,1.0,2.23606797749979,4.47213595499958,-2,1.395444804397048,0.6703932111700477,0.476071117594238,0.7913018602940343,0.698140920114768
BASE-L32-S701-X,BASE-L32-S701,BASELINE,X,0.44342041015625,0.44342041015625,0.44342041015625,0.44342041015625,0.15350341796875,1.0,2.8284271247461903,6.0,0,1.5660281173894237,0.6983465427835414,0.5869104429708341,0.8158555888525801,0.6679354550539863
BASE-L32-S809-X,BASE-L32-S809,BASELINE,X,0.40447998046875,0.404388427734375,0.404388427734375,0.404388427734375,0.18341064453125,1.0,2.23606797749979,5.0990195135927845,-10,1.3352378058229208,0.6373811445688043,0.49291613431706255,0.7551701442425386,0.7363872197681217
BASE-L32-S907-X,BASE-L32-S907,BASELINE,X,0.430755615234375,0.430755615234375,0.430755615234375,0.430755615234375,0.1572265625,1.0,2.449489742783178,5.477225575051661,-5,1.5675811696961695,0.7006023741540359,0.5769964221351703,0.8066451751371131,0.6677934178744243
BASE-L40-S1009-X,BASE-L40-S1009,BASELINE,X,0.43340625,0.43315625,0.43315625,0.43315625,0.166,1.0,2.449489742783178,5.477225575051661,-11,1.302538389268452,0.6193299785756584,0.46834661410694084,0.7164739864094366,0.7546245643543952
BASE-L40-S101-X,BASE-L40-S101,BASELINE,X,0.39225,0.39215625,0.39215625,0.39215625,0.17453125,1.0,2.23606797749979,4.898979485566356,-8,0.8872444439562771,0.44470631817738937,0.3440659955676682,0.5688169333184004,0.875529327674337
BASE-L40-S1103-X,BASE-L40-S1103,BASELINE,X,0.431515625,0.431515625,0.431515625,0.431515625,0.165625,1.0,2.449489742783178,5.744562646538029,-2,1.242375991063031,0.5854091361696807,0.47336770679606194,0.7159975197537363,0.783716928292365
BASE-L40-S1201-X,BASE-L40-S1201,BASELINE,X,0.423125,0.422953125,0.422953125,0.422953125,0.17553125,1.0,2.23606797749979,5.0990195135927845,-1,0.8070016068717545,0.3949475782661383,0.33082218815514625,0.5240276858269731,0.9055442881540686
BASE-L40-S1301-X,BASE-L40-S1301,BASELINE,X,0.3901875,0.390140625,0.390140625,0.390140625,0.16440625,1.0,2.23606797749979,5.0990195135927845,-2,1.524784931393005,0.685080313330172,0.5398815686617439,0.8004085360399421,0.6845472260047759
BASE-L40-S1409-X,BASE-L40-S1409,BASELINE,X,0.4318125,0.43175,0.43175,0.43175,0.15503125,1.0,2.8284271247461903,5.830951894845301,-2,1.3257898652705022,0.6213416391724594,0.4643002459294766,0.7176091558416691,0.7506675734142759
BASE-L40-S1511-X,BASE-L40-S1511,BASELINE,X,0.413625,0.413546875,0.413546875,0.413546875,0.17790625,1.0,2.23606797749979,5.0,-9,1.002999395647883,0.5088873098539455,0.37948402890165467,0.6016605996314744,0.8434171120954854
BASE-L40-S1601-X,BASE-L40-S1601,BASELINE,X,0.442203125,0.442109375,0.442109375,0.442109375,0.13921875,1.0,3.0,6.557438524302,-4,1.503363475689352,0.6636890619668657,0.5560569235981571,0.7652949255269379,0.7070756385917658
BASE-L40-S1709-X,BASE-L40-S1709,BASELINE,X,0.441203125,0.441140625,0.441140625,0.441140625,0.17528125,1.0,2.449489742783178,5.196152422706632,-4,0.9625147222414092,0.4792627834508499,0.37786613735333163,0.5669024632608368,0.8554351181330601
BASE-L40-S1801-X,BASE-L40-S1801,BASELINE,X,0.427125,0.427046875,0.427046875,0.427046875,0.16046875,1.0,2.449489742783178,5.656854249492381,-3,1.3258441467040445,0.6237341793043786,0.4878824419290422,0.7414874413390402,0.7495695506570976
